title,price,rating,reviews,availability
"TP-Link Hub USB Alimentado 3.0 Com 7 Portas De Dados USB 3.0 E 2 Portas USB De Carregamento Inteligente. Compatível Com Windows, Mac, Chrome & Linux Os, Com Botão De Alimentação/Desligamento,Adaptador",245.0,4.6,4.076,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 4 Canais 30V 10A de saída Ajustável Switching Regulated DC Bench Fonte de alimentação com 4 dígitos LED Power Display 5V / 2A USD/DC Output",1801.77,4.3,6.0,Em estoque
"Fonte ATX 700W, Thermaltake, PS-SPD-0700NPCWBZ-W",519.03,4.9,48.0,Em estoque
Fonte De Alimentacao 650w Gp650 80 Plus Bronze Gamemax,379.0,4.2,54.0,Em estoque
"Fonte 230W ATX Hayom PW1623, Bivolt Manual - OEM",110.0,,,Em estoque
"Fonte de alimentação SFX totalmente modular de 1000 W da Corsair — ATX 3.0, PCIe 5.0, ventoinha silenciosa de 120 mm, 80 Plus Gold, modo Zero RPM, capacitores de 105°C — preta",1803.54,4.5,173.0,Em estoque
Fonte Atx 850w Automática Rgb Brx 80 Plus,575.99,4.2,13.0,Em estoque
"Apevia Fonte de alimentação SPIRIT600W Spirit 600W ATX com ventilador de 120 mm controlado termicamente, interruptor 115/230V, todas as proteções",482.61,4.4,536.0,Em estoque
"Fonte de Alimentação EVGA 450 BR, 80 Plus Bronze 450W, 3 Anos de Garantia, Fonte de Alimentação 100-BR-0450-K1",601.16,4.7,19.815,Em estoque
Fonte Brazil Pc Atx Tfx 250w Slim Bpc-tfx250-pfc 24 Pinos Automática,225.28,0.0,,Em estoque
FONTE DE ALIMENTAÇÃO PARA PC XWAY 01001 230W 115V/230V 01001,79.99,,,Em estoque
"Fonte Corsair RM1000x, 1000W, 80 Plus Gold, Modular, Preto - CP-9020253-BR",2289.9,5.0,1.0,Estimativa de envio de 3 a 4 dias
FONTE PARA PC ATX 600W PC Gamer Cooler Fonte De Alimentação Super Silenciosa Bivolt Preta E Vermelha Conectores SATA E Ventilador Potente Com Chave Seletora 110V/230V ONYK PREMIUM,382.89,4.9,9.0,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
Fonte De Alimentação ATX-250W L2F Para Computador Strong Tech,79.03,5.0,2.0,Em estoque
Fonte Atx 500w Pfc Ativo Automática Brazilpc,194.99,2.0,1.0,Em estoque
"Fonte Corsair RM850-850W, 80 Plus Gold, Modular, Branco - CP-9020232-NA",1129.0,4.8,9.935,Em estoque
SilverStone Technology Fonte de alimentação ATX 750 Watt 80 Plus Bronze com design de cabo 100% modular ST75F-PB,1732.12,4.2,14.0,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 230W REAL ATX 24 PINOS - BPC-230V1.2,57.99,4.1,24.0,Em estoque
Cabo De Força Tripolar Para Fonte Atx Pc 03 Pinos,11.97,5.0,1.0,Em estoque
Fonte 750w Thermaltake Smart Bx1 All Flat Cables 80+bronze PS-SPD-0750NNFABB-1,648.27,4.6,258.0,Em estoque
Fonte Atx 450W Cv450 80 Plus Bronze - Cabo De Forca Incluso - Cp-9020209-Br,429.0,4.9,522.0,Em estoque
Fonte Atx 500w Real Gamer Bivolt PC AF-500,252.0,3.1,15.0,Em estoque
"Hovxjzk Fonte de alimentação para jogos 600W PC PSU, certificação bronze 80 Plus, fonte de alimentação de comutação APFC, garantia de 5 anos",545.11,3.9,11.0,Em estoque
MSI Fonte de alimentação totalmente modular 1000W ATX 3.0 - MPG A1000G PCIE5 - (Active PFC/80 PLUS Ouro),1748.9,4.7,3.018,Em estoque
